Time,Energy 1,Energy 2,Total,Scatterer,Absorber
28896690,276.287330,402.524620,678.811950,2,5
29030841,204.407159,409.337477,613.744636,1,6
29119030,260.958851,352.612143,613.570994,4,6
29444775,403.822451,261.197782,665.020233,1,6
29569190,186.075986,480.386659,666.462644,2,6
30000214,251.707827,378.529513,630.237340,1,5
30292679,285.623829,369.637244,655.261073,1,8
30422057,314.211416,327.032256,641.243673,2,5
30492034,226.509873,406.738889,633.248762,4,5
30502137,191.168416,533.687905,724.856321,1,6
30551667,292.444576,382.202684,674.647261,1,7
31079604,254.357214,434.040342,688.397556,2,8
31313459,265.599064,409.026202,674.625267,1,7
31330373,254.602171,394.963437,649.565607,4,7
31475433,285.443700,377.456677,662.900377,3,5
31514140,283.057119,395.912693,678.969812,4,6
31598585,263.833714,385.540532,649.374247,2,5
31608799,239.859317,388.782971,628.642288,2,8
31914074,285.073740,392.262761,677.336501,3,5
32114757,223.309427,420.118727,643.428154,4,8
32156729,234.387069,427.056174,661.443243,2,7
32192258,295.431512,389.962400,685.393911,4,7
32344637,508.967176,130.498453,639.465629,3,8
32436452,241.895195,452.447647,694.342842,3,8
32438929,264.279737,421.721929,686.001666,4,6
32460625,539.362415,134.951743,674.314159,2,8
32522202,220.399688,421.292205,641.691894,3,7
32679201,261.709523,380.999168,642.708690,3,5
33062675,203.769704,476.353568,680.123271,1,5
33170780,258.887944,397.547499,656.435443,1,8
33175812,254.517102,423.138860,677.655962,1,5
33288846,245.633016,399.539988,645.173004,3,7
33371442,381.329394,321.065318,702.394713,3,5
33395534,265.768911,429.158507,694.927418,1,8
33418692,421.868303,201.348087,623.216390,4,8
33465581,227.831017,412.077549,639.908567,3,7
33506810,220.344697,417.794062,638.138759,3,7
33578359,206.356838,433.616618,639.973456,3,7
33651863,254.702599,403.214878,657.917476,1,7
33916068,295.717834,339.606296,635.324130,4,6
34243146,223.405328,461.847270,685.252599,2,6
34281796,194.880773,468.353891,663.234664,2,6
34302540,324.099166,378.982994,703.082160,4,6
34387561,229.070107,440.777537,669.847644,2,7
34498026,219.490074,438.390840,657.880914,4,8
34542293,284.363452,392.945510,677.308962,4,7
34660711,257.504391,388.189850,645.694241,3,5
34940989,244.044842,402.159387,646.204228,1,8
34982323,250.399365,323.967339,574.366704,2,6
